"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"84054","Åland Islands","2018","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2019","287.5","1"
"84056","Åland Islands","2018","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2019","302","1"
"84058","Åland Islands","2018","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2019","320","1"
"84059","Åland Islands","2018","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2019","317.5","1"
"84060","Åland Islands","2018","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2019","330","1"
"84061","Åland Islands","2018","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2019","332","1"
"84063","Åland Islands","2018","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2019","336.5","1"
"84064","Åland Islands","2018","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2019","336","1"
"84065","Åland Islands","2018","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2019","326","1"
"84066","Åland Islands","2018","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2019","328","1"
"84067","Åland Islands","2018","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2019","342","1"
"84069","Åland Islands","2018","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2019","347","1"
"84070","Åland Islands","2018","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2019","335","1"
"84071","Åland Islands","2018","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2019","327","1"
"84072","Åland Islands","2018","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2019","329.5","1"
"84073","Åland Islands","2018","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2019","314","1"
"84075","Åland Islands","2018","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2019","312.5","1"
"84076","Åland Islands","2018","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2019","311","1"
"84077","Åland Islands","2018","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2019","320","1"
"84078","Åland Islands","2018","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2019","303.5","1"
"84079","Åland Islands","2018","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2019","251.5","1"
"84081","Åland Islands","2018","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2019","232.5","1"
"84082","Åland Islands","2018","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2019","269","1"
"84083","Åland Islands","2018","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2019","276","1"
"84084","Åland Islands","2018","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2019","290.5","1"
"84085","Åland Islands","2018","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2019","320.5","1"
"84087","Åland Islands","2018","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2019","339.5","1"
"84088","Åland Islands","2018","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2019","375.5","1"
"84089","Åland Islands","2018","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2019","377","1"
"84090","Åland Islands","2018","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2019","374.5","1"
"84091","Åland Islands","2018","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2019","369.5","1"
"84093","Åland Islands","2018","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2019","346.5","1"
"84094","Åland Islands","2018","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2019","351.5","1"
"84095","Åland Islands","2018","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2019","354","1"
"84096","Åland Islands","2018","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2019","347.5","1"
"84097","Åland Islands","2018","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2019","379.5","1"
"84099","Åland Islands","2018","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2019","384","1"
"84100","Åland Islands","2018","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2019","381","1"
"84101","Åland Islands","2018","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2019","374.5","1"
"84102","Åland Islands","2018","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2019","349.5","1"
"84103","Åland Islands","2018","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2019","350.5","1"
"84105","Åland Islands","2018","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2019","361.5","1"
"84106","Åland Islands","2018","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2019","387.5","1"
"84107","Åland Islands","2018","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2019","379","1"
"84108","Åland Islands","2018","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2019","381","1"
"84109","Åland Islands","2018","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2019","384","1"
"84111","Åland Islands","2018","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2019","393.5","1"
"84112","Åland Islands","2018","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2019","400.5","1"
"84113","Åland Islands","2018","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2019","384.5","1"
"84114","Åland Islands","2018","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2019","404","1"
"84115","Åland Islands","2018","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2019","453","1"
"84117","Åland Islands","2018","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2019","447.5","1"
"84118","Åland Islands","2018","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2019","445.5","1"
"84119","Åland Islands","2018","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2019","438.5","1"
"84120","Åland Islands","2018","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2019","401.5","1"
"84121","Åland Islands","2018","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2019","396","1"
"84123","Åland Islands","2018","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2019","385","1"
"84124","Åland Islands","2018","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2019","388.5","1"
"84125","Åland Islands","2018","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2019","403","1"
"84126","Åland Islands","2018","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2019","391","1"
"84127","Åland Islands","2018","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2019","380.5","1"
"84129","Åland Islands","2018","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2019","379.5","1"
"84130","Åland Islands","2018","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2019","372.5","1"
"84131","Åland Islands","2018","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2019","391","1"
"84132","Åland Islands","2018","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2019","427","1"
"84133","Åland Islands","2018","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2019","430.5","1"
"84135","Åland Islands","2018","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2019","393.5","1"
"84136","Åland Islands","2018","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2019","357","1"
"84137","Åland Islands","2018","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2019","368.5","1"
"84138","Åland Islands","2018","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2019","396","1"
"84139","Åland Islands","2018","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2019","399","1"
"84141","Åland Islands","2018","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2019","401","1"
"84142","Åland Islands","2018","Total","Both Sexes","72","Estimate - de jure","Final figure, complete","2019","374","1"
"84143","Åland Islands","2018","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2019","333","1"
"84144","Åland Islands","2018","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2019","296.5","1"
"84145","Åland Islands","2018","Total","Both Sexes","75","Estimate - de jure","Final figure, complete","2019","274.5","1"
"84147","Åland Islands","2018","Total","Both Sexes","76","Estimate - de jure","Final figure, complete","2019","259","1"
"84148","Åland Islands","2018","Total","Both Sexes","77","Estimate - de jure","Final figure, complete","2019","233","1"
"84149","Åland Islands","2018","Total","Both Sexes","78","Estimate - de jure","Final figure, complete","2019","209","1"
"84150","Åland Islands","2018","Total","Both Sexes","79","Estimate - de jure","Final figure, complete","2019","189.5","1"
"84151","Åland Islands","2018","Total","Both Sexes","80","Estimate - de jure","Final figure, complete","2019","183.5","1"
"84153","Åland Islands","2018","Total","Both Sexes","81","Estimate - de jure","Final figure, complete","2019","168","1"
"84154","Åland Islands","2018","Total","Both Sexes","82","Estimate - de jure","Final figure, complete","2019","156","1"
"84155","Åland Islands","2018","Total","Both Sexes","83","Estimate - de jure","Final figure, complete","2019","152","1"
"84156","Åland Islands","2018","Total","Both Sexes","84","Estimate - de jure","Final figure, complete","2019","137.5","1"
"84157","Åland Islands","2018","Total","Both Sexes","85","Estimate - de jure","Final figure, complete","2019","127","1"
